solution_id,bm_mass,num_modules,start_arc_length,total_buoyancy_SoL,total_buoyancy_EoL,max_tension,min_bend_radius,min_seabed_clearance,min_surface_clearance,fitness,is_valid,fail_reason,solution_time
556_9_129,556,9,129,4221.0,3970.8,,,,,-inf,False,timeout,
490_1_28,490,1,28,535.0,510.5,,,,,-inf,False,timeout,
698_5_28,698,5,28,1635.0,1460.5,,,,,-inf,False,timeout,
733_1_198,733,1,198,292.0,255.35,,,,,-inf,False,timeout,
552_19_198,552,19,198,8987.0,8462.6,,,,,-inf,False,timeout,
552_2_131,552,2,131,946.0,890.8,,,,,-inf,False,timeout,
490_4_198,490,4,198,2140.0,2042.0,,,,,-inf,False,timeout,
490_5_102,490,5,102,2675.0,2552.5,61.5,3.35,0.63,77.53,-inf,False,"seabed clearance too low, bend radius too small",6.1
733_1_198,733,1,198,292.0,255.35,,,,,-inf,False,timeout,
583_8_198,583,8,198,3536.0,3302.8,,,,,-inf,False,timeout,
300_19_198,300,19,198,13775.0,13490.0,,,,,-inf,False,timeout,
490_7_198,490,7,198,3745.0,3573.5,,,,,-inf,False,timeout,
552_20_81,552,20,81,9460.0,8908.0,40.95,7.21,31.39,7.53,-inf,False,surface clearance too low,10.5
556_19_33,556,19,33,8911.0,8382.8,,,,,-inf,False,timeout,
552_1_129,552,1,129,473.0,445.4,,,,,-inf,False,timeout,
552_12_129,552,12,129,5676.0,5344.8,73.22,3.12,0.51,64.09,-inf,False,"seabed clearance too low, bend radius too small",16.6
524_19_198,524,19,198,9519.0,9021.2,,,,,-inf,False,timeout,
616_5_81,616,5,81,2045.0,1891.0,56.06,3.49,0.5,79.89,-inf,False,"seabed clearance too low, bend radius too small",16.4
490_17_198,490,17,198,9095.0,8678.5,,,,,-inf,False,timeout,
490_10_129,490,10,129,5350.0,5105.0,,,,,-inf,False,timeout,
504_9_129,504,9,129,4689.0,4462.2,73.31,2.83,0.51,70.85,-inf,False,"seabed clearance too low, bend radius too small",18.5
300_19_198,300,19,198,13775.0,13490.0,,,,,-inf,False,timeout,
490_5_66,490,5,66,2675.0,2552.5,45.74,3.77,0.55,65.05,-inf,False,seabed clearance too low,22.8
552_19_10,552,19,10,8987.0,8462.6,,,,,-inf,False,timeout,
556_11_129,556,11,129,5159.0,4853.2,,,,,-inf,False,timeout,
352_4_198,352,4,198,2692.0,2621.6,,,,,-inf,False,timeout,
552_15_198,552,15,198,7095.0,6681.0,,,,,-inf,False,timeout,
552_1_81,552,1,81,473.0,445.4,,,,,-inf,False,timeout,
616_5_81,616,5,81,2045.0,1891.0,56.06,3.49,0.5,79.89,-inf,False,"seabed clearance too low, bend radius too small",15.8
552_4_197,552,4,197,1892.0,1781.6,,,,,-inf,False,timeout,
300_5_81,300,5,81,3625.0,3550.0,46.58,2.78,20.8,56.46,-inf,False,bend radius too small,12.5
300_5_129,300,5,129,3625.0,3550.0,,,,,-inf,False,timeout,
707_9_129,707,9,129,2862.0,2543.85,,,,,-inf,False,timeout,
552_7_81,552,7,81,3311.0,3117.8,49.28,3.13,0.67,62.03,-inf,False,"seabed clearance too low, bend radius too small",14.1
490_4_141,490,4,141,2140.0,2042.0,,,,,-inf,False,timeout,
300_9_129,300,9,129,6525.0,6390.0,66.45,6.12,0.61,50.37,-inf,False,seabed clearance too low,10.5
