,Leftmost,,Rightmost,,Lower-Corner,
Arc length (m),X,Z,X,Z,X,Z
195,115.0008283,-99.91978801,140.7433868,-50.53880305,115.0008595,-99.91978801
196,116.0008169,-99.91978801,141.1721967,-51.44223275,116.0008476,-99.91978801
197,117.0008054,-99.91978801,141.5938945,-52.34900332,117.0008357,-99.91978801
198,118.000794,-99.91978801,141.993561,-53.26570419,118.0008237,-99.91978801
199,119.0007826,-99.91978801,142.3868942,-54.1851396,119.0008118,-99.91978801
200,120.0007711,-99.91978801,142.7803539,-55.10452022,120.0007999,-99.91978801
201,121.0007597,-99.91978801,143.1766251,-56.0226918,121.000788,-99.91978801
202,122.0007483,-99.91978801,143.5768619,-56.93914102,122.000776,-99.91978801
203,123.0007368,-99.91978801,143.9815975,-57.85361157,123.0007641,-99.91978801
204,124.0007254,-99.91978801,144.3911143,-58.76595036,124.0007522,-99.91978801
205,125.0007139,-99.91978801,144.8055935,-59.67604478,125.0007403,-99.91978801
206,126.0007025,-99.91978801,145.2251764,-60.58379676,126.0007283,-99.91978801
207,127.000691,-99.91978801,145.6499903,-61.48911185,127.0007164,-99.91978801
208,128.0006796,-99.91978801,146.0801582,-62.39189457,128.0007045,-99.91978801
209,129.0006681,-99.91978801,146.5158032,-63.29204627,129.0006925,-99.91978801
210,130.0006567,-99.91978801,146.9570511,-64.18946414,130.0006806,-99.91978801
211,131.0006452,-99.91978801,147.4040301,-65.08404054,131.0006686,-99.91978801
212,132.0006338,-99.91978801,147.8568723,-65.9756626,132.0006567,-99.91978801
213,133.0006223,-99.91978801,148.3157132,-66.86421186,133.0006448,-99.91978801
214,134.0006108,-99.91978801,148.780692,-67.74956388,134.0006328,-99.91978801
215,135.0005994,-99.91978801,149.2519518,-68.63158793,135.0006209,-99.91978801
216,136.0005879,-99.91978801,149.7296397,-69.51014656,136.0006089,-99.91978801
217,137.0005764,-99.91978801,150.2139067,-70.38509524,137.000597,-99.91978801
218,138.000565,-99.91978801,150.7049081,-71.25628193,138.000585,-99.91978801
219,139.0005535,-99.91978801,151.2028029,-72.12354665,139.0005731,-99.91978801
220,140.000542,-99.91978801,151.7077546,-72.98672097,140.0005611,-99.91978801
221,141.0005305,-99.91978801,152.2199307,-73.84562756,141.0005492,-99.91978801
222,142.0005191,-99.91978801,152.739503,-74.70007964,142.0005372,-99.91978801
223,143.0005076,-99.91978801,153.2666473,-75.5498804,143.0005253,-99.91978801
224,144.0004961,-99.91978801,153.8015438,-76.39482247,144.0005133,-99.91978801
225,145.0004846,-99.91978801,154.3443765,-77.23468723,145.0005014,-99.91978801
226,146.0004732,-99.91978801,154.8953336,-78.06924417,146.0004894,-99.91978801
227,147.0004617,-99.91978801,155.454607,-78.89825024,147.0004775,-99.91978801
228,148.0004502,-99.91978801,156.0223924,-79.72144908,148.0004655,-99.91978801
229,149.0004387,-99.91978801,156.5988892,-80.53857026,149.0004536,-99.91978801
230,150.0004272,-99.91978801,157.1842997,-81.34932849,150.0004416,-99.91978801
231,151.0004158,-99.91978801,157.7788294,-82.15342281,151.0004297,-99.91978801
232,152.0004043,-99.91978801,158.3826863,-82.95053568,152.0004177,-99.91978801
233,153.0003928,-99.91978801,158.9960806,-83.74033213,153.0004057,-99.91978801
234,154.0003813,-99.919788,159.6192241,-84.5224588,154.0003938,-99.919788
235,155.0003698,-99.919788,160.2523294,-85.29654303,155.0003818,-99.919788
236,156.0003584,-99.91978799,160.8956098,-86.06219184,156.0003699,-99.91978799
237,157.0003469,-99.91978799,161.5492776,-86.81899103,157.0003579,-99.91978798
238,158.0003354,-99.919788,162.213544,-87.56650411,158.000346,-99.91978799
239,159.0003239,-99.91978804,162.8886173,-88.30427138,159.000334,-99.91978804
240,160.0003124,-99.91978816,163.5747024,-89.03180893,160.0003221,-99.91978816
241,161.000301,-99.91978837,164.2719987,-89.74860764,161.0003101,-99.91978838
242,162.0002895,-99.91978862,164.9806993,-90.45413224,162.0002982,-99.91978865
243,163.000278,-99.91978872,165.7009891,-91.14782028,163.0002862,-99.91978878
