solution_id,bm_mass,num_modules,start_arc_length,total_buoyancy_SoL,total_buoyancy_EoL,max_tension,min_bend_radius,min_seabed_clearance,min_surface_clearance,fitness,is_valid,fail_reason,solution_time
300_14_38,300,14,38,10150.0,9940.0,,,,,-inf,False,timeout,
653_16_34,653,16,34,5952.0,5429.6,,,,,-inf,False,timeout,
636_15_176,636,15,176,5835.0,5358.0,,,,,-inf,False,timeout,
388_9_69,388,9,69,5733.0,5558.4,38.92,3.44,31.15,40.96,-inf,False,bend radius too small,28.7
647_15_69,647,15,69,5670.0,5184.75,,,,,-inf,False,timeout,
729_13_89,729,13,89,3848.0,3374.15,,,,,-inf,False,timeout,
729_10_10,729,10,10,2960.0,2595.5,,,,,-inf,False,timeout,
388_11_69,388,11,69,7007.0,6793.6,37.35,4.03,34.24,30.74,-52.11,True,,25.1
561_8_10,561,8,10,3712.0,3487.6,,,,,-inf,False,timeout,
653_19_10,653,19,10,7068.0,6447.65,,,,,-inf,False,timeout,
330_14_188,330,14,188,9730.0,9499.0,,,,,-inf,False,timeout,
664_14_197,664,14,197,5054.0,4589.2,,,,,-inf,False,timeout,
788_14_176,788,14,176,3318.0,2766.4,,,,,-inf,False,timeout,
695_1_69,695,1,69,330.0,295.25,,,,,-inf,False,timeout,
753_10_82,753,10,82,2720.0,2343.5,,,,,-inf,False,timeout,
753_9_197,753,9,197,2448.0,2109.15,,,,,-inf,False,timeout,
388_1_188,388,1,188,637.0,617.6,,,,,-inf,False,timeout,
753_14_68,753,14,68,3808.0,3280.9,,,,,-inf,False,timeout,
300_10_98,300,10,98,7250.0,7100.0,50.91,5.21,15.29,40.15,32.88,True,,24.0
653_14_82,653,14,82,5208.0,4750.9,,,,,-inf,False,timeout,
629_13_50,629,13,50,5148.0,4739.15,,,,,-inf,False,timeout,
455_1_69,455,1,69,570.0,547.25,,,,,-inf,False,timeout,
323_14_197,323,14,197,9828.0,9601.9,,,,,-inf,False,timeout,
770_7_28,770,7,28,1785.0,1515.5,,,,,-inf,False,timeout,
360_7_197,360,7,197,4655.0,4529.0,,,,,-inf,False,timeout,
653_1_122,653,1,122,372.0,339.35,,,,,-inf,False,timeout,
522_7_69,522,7,69,3521.0,3338.3,,,,,-inf,False,timeout,
633_13_69,633,13,69,5096.0,4684.55,,,,,-inf,False,timeout,
770_19_103,770,19,103,4845.0,4113.5,,,,,-inf,False,timeout,
434_15_10,434,15,10,8865.0,8539.5,,,,,-inf,False,timeout,
770_18_149,770,18,149,4590.0,3897.0,,,,,-inf,False,timeout,
770_19_149,770,19,149,4845.0,4113.5,,,,,-inf,False,timeout,
695_20_149,695,20,149,6600.0,5905.0,,,,,-inf,False,timeout,
653_11_87,653,11,87,4092.0,3732.85,,,,,-inf,False,timeout,
300_18_132,300,18,132,13050.0,12780.0,65.5,1.62,12.7,22.43,-inf,False,"seabed clearance too low, bend radius too small",22.9
300_19_176,300,19,176,13775.0,13490.0,,,,,-inf,False,timeout,
388_7_69,388,7,69,4459.0,4323.2,41.29,2.98,0.51,51.3,-inf,False,"seabed clearance too low, bend radius too small",29.1
300_18_82,300,18,82,13050.0,12780.0,,,,,-inf,False,timeout,
682_18_82,682,18,82,6174.0,5560.2,,,,,-inf,False,timeout,
702_15_176,702,15,176,4845.0,4318.5,,,,,-inf,False,timeout,
300_4_32,300,4,32,2900.0,2840.0,,,,,-inf,False,timeout,
300_19_132,300,19,132,13775.0,13490.0,65.82,1.33,13.72,21.99,-inf,False,"seabed clearance too low, bend radius too small",21.6
300_14_188,300,14,188,10150.0,9940.0,,,,,-inf,False,timeout,
770_18_189,770,18,189,4590.0,3897.0,,,,,-inf,False,timeout,
300_15_176,300,15,176,10875.0,10650.0,,,,,-inf,False,timeout,
300_13_130,300,13,130,9425.0,9230.0,66.14,8.13,0.82,38.71,-inf,False,seabed clearance too low,24.5
300_20_197,300,20,197,14500.0,14200.0,,,,,-inf,False,timeout,
770_1_82,770,1,82,255.0,216.5,,,,,-inf,False,timeout,
729_1_69,729,1,69,296.0,259.55,,,,,-inf,False,timeout,
729_14_132,729,14,132,4144.0,3633.7,,,,,-inf,False,timeout,
300_1_34,300,1,34,725.0,710.0,,,,,-inf,False,timeout,
770_3_10,770,3,10,765.0,649.5,,,,,-inf,False,timeout,
434_14_167,434,14,167,8274.0,7970.2,,,,,-inf,False,timeout,
653_7_189,653,7,189,2604.0,2375.45,,,,,-inf,False,timeout,
770_7_136,770,7,136,1785.0,1515.5,,,,,-inf,False,timeout,
552_14_122,552,14,122,6622.0,6235.6,,,,,-inf,False,timeout,
653_1_122,653,1,122,372.0,339.35,,,,,-inf,False,timeout,
770_19_36,770,19,36,4845.0,4113.5,,,,,-inf,False,timeout,
300_14_189,300,14,189,10150.0,9940.0,,,,,-inf,False,timeout,
770_8_110,770,8,110,2040.0,1732.0,,,,,-inf,False,timeout,
456_19_21,456,19,21,10811.0,10377.8,,,,,-inf,False,timeout,
719_1_87,719,1,87,306.0,270.05,,,,,-inf,False,timeout,
300_5_87,300,5,87,3625.0,3550.0,,,,,-inf,False,timeout,
388_7_187,388,7,187,4459.0,4323.2,,,,,-inf,False,timeout,
750_15_197,750,15,197,4125.0,3562.5,,,,,-inf,False,timeout,
770_14_10,770,14,10,3570.0,3031.0,,,,,-inf,False,timeout,
770_14_66,770,14,66,3570.0,3031.0,,,,,-inf,False,timeout,
770_2_149,770,2,149,510.0,433.0,,,,,-inf,False,timeout,
695_14_34,695,14,34,4620.0,4133.5,,,,,-inf,False,timeout,
753_18_178,753,18,178,4896.0,4218.3,,,,,-inf,False,timeout,
388_9_176,388,9,176,5733.0,5558.4,,,,,-inf,False,timeout,
770_14_40,770,14,40,3570.0,3031.0,,,,,-inf,False,timeout,
627_14_197,627,14,197,5572.0,5133.1,,,,,-inf,False,timeout,
506_7_82,506,7,82,3633.0,3455.9,,,,,-inf,False,timeout,
695_2_10,695,2,10,660.0,590.5,,,,,-inf,False,timeout,
728_14_197,728,14,197,4158.0,3648.4,,,,,-inf,False,timeout,
770_1_136,770,1,136,255.0,216.5,,,,,-inf,False,timeout,
388_1_66,388,1,66,637.0,617.6,69.68,2.97,0.52,99.86,-inf,False,"seabed clearance too low, bend radius too small",33.0
770_17_10,770,17,10,4335.0,3680.5,,,,,-inf,False,timeout,
702_18_10,702,18,10,5814.0,5182.2,,,,,-inf,False,timeout,
702_14_117,702,14,117,4522.0,4030.6,,,,,-inf,False,timeout,
539_14_122,539,14,122,6804.0,6426.7,,,,,-inf,False,timeout,
552_7_122,552,7,122,3311.0,3117.8,,,,,-inf,False,timeout,
300_15_14,300,15,14,10875.0,10650.0,,,,,-inf,False,timeout,
770_14_61,770,14,61,3570.0,3031.0,,,,,-inf,False,timeout,
474_14_149,474,14,149,7714.0,7382.2,,,,,-inf,False,timeout,
300_7_122,300,7,122,5075.0,4970.0,,,,,-inf,False,timeout,
434_14_197,434,14,197,8274.0,7970.2,,,,,-inf,False,timeout,
435_14_113,435,14,113,8260.0,7955.5,61.31,8.36,0.56,46.7,-inf,False,seabed clearance too low,28.5
434_2_67,434,2,67,1182.0,1138.6,,,,,-inf,False,timeout,
300_10_155,300,10,155,7250.0,7100.0,,,,,-inf,False,timeout,
506_14_10,506,14,10,7266.0,6911.8,,,,,-inf,False,timeout,
627_13_136,627,13,136,5174.0,4766.45,,,,,-inf,False,timeout,
770_14_122,770,14,122,3570.0,3031.0,,,,,-inf,False,timeout,
300_11_113,300,11,113,7975.0,7810.0,58.21,6.29,6.63,41.7,-inf,False,seabed clearance too low,22.0
300_7_45,300,7,45,5075.0,4970.0,,,,,-inf,False,timeout,
552_1_122,552,1,122,473.0,445.4,,,,,-inf,False,timeout,
381_14_10,381,14,10,9016.0,8749.3,,,,,-inf,False,timeout,
434_15_151,434,15,151,8865.0,8539.5,,,,,-inf,False,timeout,
770_7_10,770,7,10,1785.0,1515.5,,,,,-inf,False,timeout,
770_4_10,770,4,10,1020.0,866.0,,,,,-inf,False,timeout,
